scheme_code,scheme_name,category,status
118780,Nippon India Credit Risk Fund - Direct Plan - Growth Plan,Credit Risk,ok
118784,Nippon India Value Fund - Direct Plan Growth Plan,Other,ok
118785,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,Index Fund,ok
118791,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,Index Fund,ok
118794,Nippon India Aggressive Hybrid Fund  - Direct Plan Growth Plan,Aggressive Hybrid,ok
118796,Nippon India Short Duration Fund - Direct Plan Growth Plan - Growth Option,Short Duration,ok
118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,ELSS,ok
118804,Nippon India Annual Interval Fund - Series I - Direct Plan Growth Plan - Growth,Other,ok
118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Corporate Bond,ok
118814,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Corporate Bond,ok
118820,Indiabulls Gilt Fund - Indirect Plan - Growth Option,Long Duration,ok
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Large Cap,ok
118828,Mirae Asset Global Commodity Stocks - Direct Plan - Growth,International FOF,ok
118831,Mirae Asset China Advantage Fund - Direct Plan - Growth,Other,ok
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,Mid Cap,ok
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Sectoral - Consumption,ok
118840,Mirae Asset Low Duration Fund - Direct Plan - Growth,Other,ok
118847,Mirae Asset Short Term Bond Fund - Direct Plan - Growth,Short Duration,ok
118857,Mirae Asset Liquid Fund - Direct Plan - Growth,Liquid Fund,skip
118859,Mirae Asset Liquid Fund - Direct Plan - Growth,Liquid Fund,ok
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,ok
118867,Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,ELSS,ok
118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,Sectoral - Banking,ok
118869,Taurus Banking & Financial Services Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Sectoral - Banking,ok
118870,Taurus Large Cap Fund - Direct Plan - Growth,Large Cap,ok
118871,Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Large Cap,ok
118872,Taurus Mid Cap Fund - Direct Plan - Growth,Mid Cap,ok
118873,Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Mid Cap,ok
118874,Taurus Dynamic Income Fund-Direct Plan-Growth Option,Other,ok
118876,Taurus Ethical Fund - Direct Plan - Growth,Other,ok
118877,Taurus Ethical Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Other,ok
118879,Taurus Infrastructure Fund - Direct Plan - Growth ,Sectoral - Infra,ok
118880,Taurus Infrastructure Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Sectoral - Infra,ok
118881,Taurus Nifty 50 Index Fund - Direct Plan - Growth,Large Cap,ok
